order_id,customer_id,amount,category,order_date
1,C003,1098.5,Software,2024-11-08
2,C001,2935.53,Software,2024-05-10
3,C001,916.77,Services,2024-10-19
4,C011,5720.93,Hardware,2024-08-28
5,C025,5713.72,Accessories,2024-07-13
6,C013,666.05,Accessories,2024-01-07
7,C003,5908.77,Accessories,2024-03-04
8,C011,3624.33,Hardware,2024-01-19
9,C005,3242.88,Services,2024-10-01
10,C003,5252.28,Accessories,2024-03-21
11,C009,5735.03,Services,2024-08-04
12,C004,5101.17,Accessories,2024-08-16
13,C010,561.01,Hardware,2024-12-11
14,C024,1625.3,Software,2024-09-01
15,C007,5708.36,Services,2024-03-23
16,C018,5489.17,Services,2024-11-28
17,C003,4192.37,Services,2024-09-12
18,C030,1043.9,Software,2024-09-18
19,C025,3041.05,Software,2024-10-26
20,C026,5910.31,Software,2024-04-27
21,C013,4452.24,Software,2024-04-17
22,C016,2165.6,Hardware,2024-01-26
23,C009,2859.83,Software,2024-12-20
24,C012,2711.0,Services,2024-06-03
25,C008,657.84,Accessories,2024-04-11
26,C007,2921.79,Hardware,2024-08-21
27,C012,4807.88,Hardware,2024-11-04
28,C030,2361.79,Software,2024-08-06
29,C014,4745.36,Services,2024-02-26
30,C024,2405.24,Accessories,2024-12-03
31,C024,995.19,Software,2024-01-05
32,C019,5433.87,Software,2024-10-27
33,C020,5882.82,Services,2024-03-18
34,C018,829.35,Hardware,2024-12-21
35,C004,3183.16,Software,2024-07-28
36,C007,4965.62,Software,2024-01-09
37,C007,1793.15,Software,2024-10-11
38,C009,3288.9,Software,2024-01-24
39,C012,5391.34,Accessories,2024-09-05
40,C018,953.43,Hardware,2024-08-25
41,C006,3670.9,Software,2024-03-05
42,C016,3733.65,Hardware,2024-09-02
43,C011,4109.87,Accessories,2024-02-18
44,C002,1528.54,Services,2024-01-25
45,C004,3070.9,Hardware,2024-02-15
46,C011,3694.54,Software,2024-12-09
47,C015,3073.53,Accessories,2024-09-08
48,C023,3163.1,Services,2024-09-07
49,C027,2712.79,Accessories,2024-02-13
50,C015,1930.08,Software,2024-07-03
51,C007,4033.36,Hardware,2024-03-23
52,C021,3978.53,Software,2024-05-05
53,C015,1356.55,Hardware,2024-07-16
54,C006,5939.74,Software,2024-03-23
55,C014,5964.73,Accessories,2024-06-14
56,C007,2171.86,Hardware,2024-12-12
57,C001,2060.98,Accessories,2024-08-23
58,C001,2336.85,Services,2024-09-03
59,C004,5911.25,Software,2024-02-03
60,C009,1667.93,Software,2024-05-25
61,C005,4927.67,Services,2024-07-05
62,C018,5519.07,Accessories,2024-12-11
63,C003,1710.42,Software,2024-07-03
64,C009,5633.18,Hardware,2024-05-03
65,C020,5144.56,Hardware,2024-05-28
66,C004,2749.95,Services,2024-09-14
67,C030,5496.79,Software,2024-01-17
68,C023,1468.7,Hardware,2024-03-09
69,C002,1127.82,Services,2024-11-10
70,C017,4569.01,Services,2024-08-17
71,C022,1108.5,Services,2024-01-09
72,C002,141.31,Software,2024-09-16
73,C008,5611.12,Hardware,2024-11-27
74,C021,2621.46,Accessories,2024-09-27
75,C029,2388.86,Services,2024-12-07
76,C008,2089.09,Software,2024-07-12
77,C002,5030.08,Hardware,2024-02-21
78,C024,5285.13,Accessories,2024-03-02
79,C003,4008.1,Accessories,2024-09-22
80,C010,3612.73,Services,2024-01-15
81,C006,987.32,Accessories,2024-01-09
82,C012,5772.63,Services,2024-04-02
83,C029,1891.81,Services,2024-03-01
84,C011,2320.68,Accessories,2024-05-17
85,C021,1245.83,Hardware,2024-02-09
86,C027,584.03,Accessories,2024-10-02
87,C013,183.84,Services,2024-11-08
88,C003,3534.22,Software,2024-11-23
89,C026,5280.59,Accessories,2024-06-24
90,C016,939.31,Software,2024-01-27
91,C027,4304.32,Accessories,2024-12-23
92,C026,3057.97,Hardware,2024-11-19
93,C026,5362.34,Software,2024-02-01
94,C002,841.9,Services,2024-02-13
95,C027,2735.75,Hardware,2024-11-01
96,C021,3212.09,Software,2024-08-09
97,C001,2768.84,Hardware,2024-12-17
98,C029,3234.44,Hardware,2024-12-24
99,C016,1550.55,Hardware,2024-05-08
100,C024,4550.83,Software,2024-12-21
101,C015,2989.0,Accessories,2024-02-16
102,C030,4117.99,Hardware,2024-10-21
103,C021,1229.83,Software,2024-06-09
104,C021,4472.14,Services,2024-10-19
105,C005,124.19,Hardware,2024-08-09
106,C022,642.14,Software,2024-11-16
107,C010,4267.78,Services,2024-08-15
108,C015,4614.66,Software,2024-05-03
109,C030,2864.02,Services,2024-08-03
110,C027,3064.38,Accessories,2024-05-13
111,C007,5503.5,Software,2024-02-19
112,C003,893.36,Services,2024-06-05
113,C020,4930.29,Services,2024-02-23
114,C012,1426.73,Accessories,2024-07-01
115,C006,71.36,Accessories,2024-11-15
116,C013,1846.61,Software,2024-07-12
117,C013,1930.66,Services,2024-01-11
118,C025,2062.72,Accessories,2024-02-07
119,C023,119.74,Services,2024-05-12
120,C003,2387.75,Hardware,2024-06-14
121,C025,1687.17,Hardware,2024-05-04
122,C002,5016.32,Services,2024-11-05
123,C008,5827.68,Accessories,2024-09-11
124,C007,4650.44,Accessories,2024-01-26
125,C025,3803.83,Software,2024-12-03
126,C002,5604.12,Accessories,2024-08-20
127,C025,874.51,Services,2024-08-02
128,C030,5564.32,Software,2024-03-16
129,C014,2094.79,Services,2024-05-24
130,C024,5858.96,Services,2024-07-21
131,C008,1839.98,Accessories,2024-02-06
132,C021,1011.86,Software,2024-09-26
133,C016,3324.8,Accessories,2024-06-25
134,C015,2593.17,Software,2024-04-03
135,C006,2084.63,Hardware,2024-06-08
136,C012,1587.23,Software,2024-01-24
137,C028,2506.05,Accessories,2024-12-17
138,C007,2292.35,Services,2024-01-16
139,C009,3466.97,Services,2024-03-22
140,C017,3198.89,Software,2024-02-09
141,C029,1528.3,Accessories,2024-11-15
142,C014,5725.96,Hardware,2024-03-02
143,C014,4271.6,Accessories,2024-10-16
144,C001,485.17,Accessories,2024-08-08
145,C026,698.82,Software,2024-03-17
146,C022,697.9,Accessories,2024-02-18
147,C025,285.3,Software,2024-04-19
148,C030,273.67,Services,2024-03-21
149,C009,3193.11,Accessories,2024-12-25
150,C004,641.7,Services,2024-09-19
151,C007,2359.09,Software,2024-10-01
152,C001,3247.98,Accessories,2024-05-11
153,C021,5044.5,Software,2024-08-17
154,C008,3304.66,Hardware,2024-07-23
155,C021,1879.02,Hardware,2024-04-16
156,C029,4063.06,Accessories,2024-02-09
157,C008,4020.76,Services,2024-04-16
158,C002,4190.15,Accessories,2024-06-22
159,C013,1228.57,Services,2024-12-28
160,C017,451.22,Accessories,2024-04-10
161,C025,4929.03,Software,2024-08-08
162,C009,4574.8,Services,2024-02-20
163,C016,3680.08,Software,2024-08-14
164,C030,4008.5,Software,2024-07-02
165,C007,190.59,Software,2024-07-02
166,C023,407.8,Accessories,2024-08-23
167,C029,1919.49,Hardware,2024-02-06
168,C011,1184.57,Accessories,2024-01-10
169,C022,4366.0,Services,2024-06-15
170,C006,698.3,Hardware,2024-05-03
171,C012,2550.09,Hardware,2024-09-25
172,C007,2311.77,Services,2024-07-03
173,C002,4246.28,Software,2024-06-18
174,C030,2705.77,Services,2024-06-24
175,C029,2873.48,Accessories,2024-04-26
176,C021,4611.67,Hardware,2024-07-02
177,C015,422.35,Hardware,2024-05-07
178,C024,423.97,Services,2024-06-09
179,C011,5748.25,Hardware,2024-05-24
180,C023,4152.99,Services,2024-05-01
